X1.N			Xc			Yc			Orientation
1			4.32004959322512			6.47936944151297			1.31389466535238
2			7.58877944201231			4.27589771337807			-0.0558772393284468
3			8.65880101919174			5.24641699623317			-0.146743905204097
4			0.230303192511201			7.29155476437882			-0.813103121763026
5			7.49797297641635			8.27983141643927			-1.51588132256455
6			6.10154821304604			0.532836352940649			0.456642578482028
7			6.28549430752173			3.52736081462353			0.0212504826078981
8			1.82610210496932			2.02599505661055			-1.31532110556934
9			1.85424205847085			6.68388545280322			1.0411091638613
10			5.61456117313355			3.31618501339108			0.787061550261331
11			5.73127586161718			3.67554359138012			-0.446087860069927
12			3.7520365905948			4.48244482511654			-0.372861582655835
13			9.86920901108533			2.95530085451901			-0.0010032904310735
14			6.01711301831529			6.30570222856477			1.49156934667316
15			7.69715676316991			5.37436744431034			0.0411140106207131
16			3.45633315388113			8.49442432401702			1.53265615652657
17			3.90656326897442			2.99126918194816			0.512803225272676
18			4.81647827196866			5.44033680344			-0.901660706039016
19			1.16013661259785			2.35132577829063			1.10761535811124
20			4.74817323731259			2.11917543783784			-0.257791392857691
21			7.79120611958206			8.87258485658094			1.29410100776994
22			7.05766634084284			7.86312214331701			1.48852242990542
23			4.43130082450807			6.2447661627084			-0.720931338392566
24			2.0248980820179			0.967355323955417			0.753646721691025
25			3.34391933167353			3.88828300405294			-0.111510806975561
26			5.45215053949505			8.5750337690115			-0.451976551528991
27			6.55334392096847			5.74756354792044			-0.372378782385265
28			0.159680959768593			8.19051165832207			-0.746809642384943
29			2.0816524210386			4.24834393197671			1.55359235971204
30			8.80375637905672			0.508269290439785			-0.670954732323465
31			0.433126443531364			4.3988721142523			-0.590468839511538
32			6.7750485194847			2.67499732086435			-1.14126267947438
33			4.24853131407872			2.55323592806235			1.48020991506153
34			0.301522389054298			2.39120352314785			-1.03911061807671
35			9.21281728660688			8.81782564101741			-0.341601375674167
36			2.95943001983687			7.28488586144522			0.584390982504397
37			0.172266962472349			6.76870679482818			-0.629613556857567
38			4.30705025559291			7.81762797385454			1.41385134533789
39			8.71797622414306			7.61134557193145			-1.16021354044238
40			6.57224018126726			1.03421061998233			-0.638104895150176
41			1.83905431767926			6.83935566805303			-0.823648197350609
42			0.239259037189186			1.05182071216404			0.165084588161445
43			0.167293869890273			9.49156195856631			1.16875752037915
44			4.42926538409665			3.22455148212612			0.958809861936465
45			9.64308383176103			7.29301323415712			0.160178579737931
46			5.43810450006276			9.12197227124125			0.50046413447716
47			2.847705995664			7.2392070828937			-1.48916100754474
48			6.72246515750885			8.01289876690134			0.68181242326416
49			5.5912309512496			9.66156993759796			0.1229229884873
50			9.45698482915759			2.77414859971032			-0.3191033999146
51			7.9687551711686			4.33095517102629			-0.507180043936031
52			6.7742044152692			2.85682953894138			0.00898059515212113
53			6.44536270294338			7.50368960434571			1.40745272086664
54			5.14510124921799			9.47141507640481			1.22794985057158
55			8.14280613791198			9.38033371698111			-1.54349505628454
56			5.7168603874743			9.34353726683185			-1.14830063059901
57			6.94149627350271			1.48603863781318			-0.94866260351385
58			1.94214081624523			0.126358342822641			1.08115853877567
59			0.469015429262072			0.660424719098955			0.470714207547575
60			9.24735289532691			4.33360919589177			-0.334181177953148
61			7.67458580201492			3.97781638428569			1.4663105394796
